,track
0,0
1,0
2,58
3,72
4,88
5,96
6,101
7,119
8,215
9,269
10,327
11,378
12,409
13,616
14,753
15,779
16,804
17,811
18,817
19,806
20,807
21,814
22,775
23,742
24,684
25,665
26,662
27,647
28,394
29,388
30,394
31,404
32,445
33,485
34,503
35,480
36,457
37,478
38,834
39,853
40,825
41,847
42,856
43,860
44,973
45,1012
46,1020
47,1032
48,982
49,987
50,1009
51,1071
52,1054
53,818
54,857
55,857
56,997
57,1038
58,1086
59,1083
60,1007
61,1090
62,1154
63,1103
64,1068
65,1080
66,1104
67,1191
68,1300
69,1386
70,1551
71,1674
72,1670
73,1898
74,2153
75,2393
76,2534
77,2698
78,2959
79,3062
80,3397
81,3573
82,4073
83,4293
