,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',45
3,'2000-04-01',55
4,'2000-05-01',68
5,'2000-06-01',74
6,'2000-07-01',76
7,'2000-08-01',92
8,'2000-09-01',184
9,'2000-10-01',234
10,'2000-11-01',292
11,'2000-12-01',342
12,'2001-01-01',371
13,'2001-02-01',570
14,'2001-03-01',706
15,'2001-04-01',730
16,'2001-05-01',755
17,'2001-06-01',763
18,'2001-07-01',773
19,'2001-08-01',764
20,'2001-09-01',764
21,'2001-10-01',770
22,'2001-11-01',729
23,'2001-12-01',695
24,'2002-01-01',639
25,'2002-02-01',621
26,'2002-03-01',621
27,'2002-04-01',607
28,'2002-05-01',358
29,'2002-06-01',346
30,'2002-07-01',351
31,'2002-08-01',360
32,'2002-09-01',399
33,'2002-10-01',437
34,'2002-11-01',449
35,'2002-12-01',424
36,'2003-01-01',400
37,'2003-02-01',416
38,'2003-03-01',762
39,'2003-04-01',782
40,'2003-05-01',751
41,'2003-06-01',773
42,'2003-07-01',781
43,'2003-08-01',788
44,'2003-09-01',898
45,'2003-10-01',936
46,'2003-11-01',946
47,'2003-12-01',956
48,'2004-01-01',907
49,'2004-02-01',910
50,'2004-03-01',930
51,'2004-04-01',992
52,'2004-05-01',978
53,'2004-06-01',742
54,'2004-07-01',777
55,'2004-08-01',778
56,'2004-09-01',914
57,'2004-10-01',950
58,'2004-11-01',989
59,'2004-12-01',990
60,'2005-01-01',905
61,'2005-02-01',970
62,'2005-03-01',1027
63,'2005-04-01',971
64,'2005-05-01',934
65,'2005-06-01',944
66,'2005-07-01',966
67,'2005-08-01',1044
68,'2005-09-01',1134
69,'2005-10-01',1210
70,'2005-11-01',1359
71,'2005-12-01',1461
72,'2006-01-01',1439
73,'2006-02-01',1651
74,'2006-03-01',1893
75,'2006-04-01',2116
76,'2006-05-01',2237
77,'2006-06-01',2371
78,'2006-07-01',2604
79,'2006-08-01',2694
80,'2006-09-01',2991
81,'2006-10-01',3138
82,'2006-11-01',3606
83,'2006-12-01',3789
84,'2007-01-01',3838
85,'2007-02-01',4334
86,'2007-03-01',4652
87,'2007-04-01',4839
88,'2007-05-01',4907
89,'2007-06-01',5024
90,'2007-07-01',4987
91,'2007-08-01',5072
92,'2007-09-01',5112
93,'2007-10-01',5259
94,'2007-11-01',5230
95,'2007-12-01',5135
96,'2008-01-01',5114
97,'2008-02-01',4980
98,'2008-03-01',4659
99,'2008-04-01',4495
100,'2008-05-01',4242
101,'2008-06-01',4141
102,'2008-07-01',4144
103,'2008-08-01',4104
104,'2008-09-01',4080
105,'2008-10-01',4052
106,'2008-11-01',4062
107,'2008-12-01',3817
108,'2009-01-01',3771
109,'2009-02-01',3812
110,'2009-03-01',3854
111,'2009-04-01',3901
112,'2009-05-01',3894
113,'2009-06-01',3877
114,'2009-07-01',3845
115,'2009-08-01',3782
116,'2009-09-01',3741
117,'2009-10-01',3757
118,'2009-11-01',3715
119,'2009-12-01',3685
