,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',58
3,'2000-04-01',72
4,'2000-05-01',88
5,'2000-06-01',96
6,'2000-07-01',101
7,'2000-08-01',119
8,'2000-09-01',215
9,'2000-10-01',269
10,'2000-11-01',327
11,'2000-12-01',378
12,'2001-01-01',409
13,'2001-02-01',616
14,'2001-03-01',753
15,'2001-04-01',779
16,'2001-05-01',804
17,'2001-06-01',811
18,'2001-07-01',817
19,'2001-08-01',806
20,'2001-09-01',807
21,'2001-10-01',814
22,'2001-11-01',775
23,'2001-12-01',742
24,'2002-01-01',684
25,'2002-02-01',665
26,'2002-03-01',662
27,'2002-04-01',647
28,'2002-05-01',394
29,'2002-06-01',388
30,'2002-07-01',394
31,'2002-08-01',404
32,'2002-09-01',445
33,'2002-10-01',485
34,'2002-11-01',503
35,'2002-12-01',480
36,'2003-01-01',457
37,'2003-02-01',478
38,'2003-03-01',834
39,'2003-04-01',853
40,'2003-05-01',825
41,'2003-06-01',847
42,'2003-07-01',856
43,'2003-08-01',860
44,'2003-09-01',973
45,'2003-10-01',1012
46,'2003-11-01',1020
47,'2003-12-01',1032
48,'2004-01-01',982
49,'2004-02-01',987
50,'2004-03-01',1009
51,'2004-04-01',1071
52,'2004-05-01',1054
53,'2004-06-01',818
54,'2004-07-01',857
55,'2004-08-01',857
56,'2004-09-01',997
57,'2004-10-01',1038
58,'2004-11-01',1086
59,'2004-12-01',1083
60,'2005-01-01',1007
61,'2005-02-01',1090
62,'2005-03-01',1154
63,'2005-04-01',1103
64,'2005-05-01',1068
65,'2005-06-01',1080
66,'2005-07-01',1104
67,'2005-08-01',1191
68,'2005-09-01',1300
69,'2005-10-01',1386
70,'2005-11-01',1551
71,'2005-12-01',1674
72,'2006-01-01',1670
73,'2006-02-01',1898
74,'2006-03-01',2153
75,'2006-04-01',2393
76,'2006-05-01',2534
77,'2006-06-01',2698
78,'2006-07-01',2959
79,'2006-08-01',3062
80,'2006-09-01',3397
81,'2006-10-01',3573
82,'2006-11-01',4073
83,'2006-12-01',4293
84,'2007-01-01',4357
85,'2007-02-01',4907
86,'2007-03-01',5263
87,'2007-04-01',5484
88,'2007-05-01',5568
89,'2007-06-01',5707
90,'2007-07-01',5693
91,'2007-08-01',5791
92,'2007-09-01',5848
93,'2007-10-01',6027
94,'2007-11-01',6030
95,'2007-12-01',5956
96,'2008-01-01',5953
97,'2008-02-01',6317
98,'2008-03-01',6378
99,'2008-04-01',6339
100,'2008-05-01',6328
101,'2008-06-01',6301
102,'2008-07-01',6336
103,'2008-08-01',6395
104,'2008-09-01',6410
105,'2008-10-01',6542
106,'2008-11-01',6897
107,'2008-12-01',6808
108,'2009-01-01',6872
109,'2009-02-01',7289
110,'2009-03-01',7065
111,'2009-04-01',7207
112,'2009-05-01',7055
113,'2009-06-01',6947
114,'2009-07-01',6912
115,'2009-08-01',6828
116,'2009-09-01',6950
117,'2009-10-01',7342
118,'2009-11-01',7528
119,'2009-12-01',7406
120,'2010-01-01',7414
121,'2010-02-01',7991
122,'2010-03-01',8346
123,'2010-04-01',8226
124,'2010-05-01',8151
125,'2010-06-01',8376
126,'2010-07-01',8516
127,'2010-08-01',8657
128,'2010-09-01',8879
129,'2010-10-01',9388
130,'2010-11-01',9890
131,'2010-12-01',9913
