,track
0,0
1,0
2,45
3,55
4,68
5,74
6,76
7,92
8,184
9,234
10,292
11,342
12,371
13,570
14,706
15,730
16,755
17,763
18,773
19,764
20,764
21,770
22,729
23,695
24,639
25,621
26,621
27,607
28,358
29,346
30,351
31,360
32,399
33,437
34,449
35,424
36,400
37,416
38,762
39,782
40,751
41,773
42,781
43,788
44,898
45,936
46,946
47,956
48,907
49,910
50,930
51,992
52,978
53,742
54,777
55,778
56,914
57,950
58,989
59,990
60,905
61,970
62,1027
63,971
64,934
65,944
66,966
67,1044
68,1134
69,1210
70,1359
71,1461
72,1439
73,1651
74,1893
75,2116
76,2237
77,2371
78,2604
79,2694
80,2991
81,3138
82,3606
83,3789
84,3838
85,4334
86,4652
87,4839
88,4907
89,5024
90,4987
91,5072
92,5112
93,5259
94,5230
95,5135
96,5114
97,4980
98,4659
99,4495
100,4242
101,4141
102,4144
103,4104
104,4080
105,4052
106,4062
107,3817
108,3771
109,3812
110,3854
111,3901
112,3894
113,3877
114,3845
115,3782
116,3741
117,3757
118,3715
119,3685
120,3650
121,3696
122,3720
123,3731
124,3788
125,3869
126,3943
127,4070
128,4226
129,4370
130,4574
131,4737
