,track
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,2
9,2
10,2
11,2
12,2
13,3
14,3
15,4
16,4
17,3
18,3
19,3
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,3
30,3
31,3
32,4
33,3
34,3
35,3
36,4
37,4
38,5
39,6
40,8
41,8
42,8
43,8
44,9
45,9
46,9
47,9
48,9
49,9
50,12
51,11
52,12
53,12
54,12
55,12
56,14
57,16
58,18
59,17
60,19
61,21
62,23
63,27
64,26
65,28
66,29
67,28
68,30
69,33
70,37
71,43
72,45
73,49
74,54
75,56
76,60
77,65
78,70
79,73
80,91
81,97
82,104
83,106
84,113
85,129
86,137
87,151
88,155
89,162
90,170
91,175
92,181
93,183
94,193
95,212
96,220
97,266
98,391
99,430
100,495
101,523
102,534
103,545
104,568
105,616
106,651
107,667
108,680
109,722
110,764
111,814
112,714
113,678
114,664
115,677
116,733
117,867
118,913
119,896
120,898
121,957
122,1020
123,1031
124,952
125,951
126,944
127,943
128,948
129,1037
130,1044
131,1012
132,907
133,970
134,1110
135,1140
136,1153
137,1150
138,1133
139,1158
140,1211
141,1298
142,1317
143,1287
