,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',0
3,'2000-04-01',0
4,'2000-05-01',0
5,'2000-06-01',1
6,'2000-07-01',1
7,'2000-08-01',1
8,'2000-09-01',2
9,'2000-10-01',2
10,'2000-11-01',2
11,'2000-12-01',2
12,'2001-01-01',2
13,'2001-02-01',3
14,'2001-03-01',3
15,'2001-04-01',4
16,'2001-05-01',4
17,'2001-06-01',3
18,'2001-07-01',3
19,'2001-08-01',3
20,'2001-09-01',2
21,'2001-10-01',2
22,'2001-11-01',2
23,'2001-12-01',2
24,'2002-01-01',2
25,'2002-02-01',2
26,'2002-03-01',2
27,'2002-04-01',2
28,'2002-05-01',2
29,'2002-06-01',3
30,'2002-07-01',3
31,'2002-08-01',3
32,'2002-09-01',4
33,'2002-10-01',3
34,'2002-11-01',3
35,'2002-12-01',3
36,'2003-01-01',4
37,'2003-02-01',4
38,'2003-03-01',5
39,'2003-04-01',6
40,'2003-05-01',8
41,'2003-06-01',8
42,'2003-07-01',8
43,'2003-08-01',8
44,'2003-09-01',9
45,'2003-10-01',9
46,'2003-11-01',9
47,'2003-12-01',9
48,'2004-01-01',9
49,'2004-02-01',9
50,'2004-03-01',12
51,'2004-04-01',11
52,'2004-05-01',12
53,'2004-06-01',12
54,'2004-07-01',12
55,'2004-08-01',12
56,'2004-09-01',14
57,'2004-10-01',16
58,'2004-11-01',18
59,'2004-12-01',17
60,'2005-01-01',19
61,'2005-02-01',21
62,'2005-03-01',23
63,'2005-04-01',27
64,'2005-05-01',26
65,'2005-06-01',28
66,'2005-07-01',29
67,'2005-08-01',28
68,'2005-09-01',30
69,'2005-10-01',33
70,'2005-11-01',37
71,'2005-12-01',43
72,'2006-01-01',45
73,'2006-02-01',49
74,'2006-03-01',54
75,'2006-04-01',56
76,'2006-05-01',60
77,'2006-06-01',65
78,'2006-07-01',70
79,'2006-08-01',73
80,'2006-09-01',91
81,'2006-10-01',97
82,'2006-11-01',104
83,'2006-12-01',106
84,'2007-01-01',113
85,'2007-02-01',129
86,'2007-03-01',137
87,'2007-04-01',151
88,'2007-05-01',155
89,'2007-06-01',162
90,'2007-07-01',170
91,'2007-08-01',175
92,'2007-09-01',181
93,'2007-10-01',183
94,'2007-11-01',193
95,'2007-12-01',212
96,'2008-01-01',220
97,'2008-02-01',266
98,'2008-03-01',391
99,'2008-04-01',430
100,'2008-05-01',495
101,'2008-06-01',523
102,'2008-07-01',534
103,'2008-08-01',545
104,'2008-09-01',568
105,'2008-10-01',616
106,'2008-11-01',651
107,'2008-12-01',667
108,'2009-01-01',680
109,'2009-02-01',722
110,'2009-03-01',764
111,'2009-04-01',814
112,'2009-05-01',714
113,'2009-06-01',678
114,'2009-07-01',664
115,'2009-08-01',677
116,'2009-09-01',733
117,'2009-10-01',867
118,'2009-11-01',913
119,'2009-12-01',896
120,'2010-01-01',898
121,'2010-02-01',957
122,'2010-03-01',1020
123,'2010-04-01',1031
124,'2010-05-01',952
125,'2010-06-01',951
126,'2010-07-01',944
127,'2010-08-01',943
128,'2010-09-01',948
129,'2010-10-01',1037
130,'2010-11-01',1044
131,'2010-12-01',1012
132,'2011-01-01',907
133,'2011-02-01',970
134,'2011-03-01',1110
135,'2011-04-01',1140
136,'2011-05-01',1153
137,'2011-06-01',1150
138,'2011-07-01',1133
139,'2011-08-01',1158
140,'2011-09-01',1211
141,'2011-10-01',1298
142,'2011-11-01',1317
143,'2011-12-01',1287
144,'2012-01-01',1197
145,'2012-02-01',1364
146,'2012-03-01',1502
147,'2012-04-01',1531
148,'2012-05-01',1392
149,'2012-06-01',1248
150,'2012-07-01',1227
151,'2012-08-01',1217
152,'2012-09-01',1237
153,'2012-10-01',1321
154,'2012-11-01',1339
155,'2012-12-01',1252
156,'2013-01-01',1189
157,'2013-02-01',1314
158,'2013-03-01',1454
159,'2013-04-01',1421
160,'2013-05-01',1296
161,'2013-06-01',1232
162,'2013-07-01',1214
163,'2013-08-01',1224
164,'2013-09-01',1260
165,'2013-10-01',1385
166,'2013-11-01',1377
167,'2013-12-01',1352
