,track
0,0
1,0
2,3
3,3
4,3
5,3
6,5
7,5
8,5
9,5
10,5
11,5
12,6
13,8
14,7
15,7
16,8
17,8
18,7
19,7
20,6
21,6
22,6
23,6
24,6
25,6
26,5
27,5
28,3
29,6
30,6
31,7
32,7
33,8
34,10
35,10
36,9
37,9
38,9
39,9
40,10
41,8
42,8
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,5
52,5
53,6
54,7
55,7
56,8
57,10
58,11
59,11
60,13
61,18
62,20
63,20
64,21
65,20
66,21
67,23
68,29
69,33
70,33
71,37
72,42
73,42
74,46
75,51
76,59
77,66
78,67
79,71
80,76
81,83
82,92
83,97
84,106
85,115
86,127
87,139
88,141
89,148
90,156
91,164
92,164
93,167
94,181
95,199
96,209
97,252
98,298
99,323
100,359
101,381
102,402
103,440
104,451
105,479
106,514
107,555
108,596
109,585
110,562
111,556
112,569
113,578
114,566
115,530
116,540
117,558
118,572
119,569
120,579
121,591
122,644
123,675
124,706
125,749
126,787
127,822
128,850
129,905
130,953
131,1052
132,1080
133,1133
134,1138
135,1154
136,1183
137,1178
138,1210
139,1193
140,1198
141,1203
142,1245
143,1251
144,1281
145,1244
146,1277
147,1295
148,1400
149,1423
150,1429
151,1452
152,1460
153,1506
154,1487
155,1516
156,1479
157,1479
158,1478
159,1452
160,1444
161,1449
162,1490
163,1471
164,1497
165,1565
166,1600
167,1611
168,1601
169,1552
170,1573
171,1587
172,1532
173,1530
174,1507
175,1444
176,1422
177,1380
178,1368
179,1313
180,1332
181,1383
182,1368
183,1404
184,1411
185,1392
186,1391
187,1408
188,1458
189,1442
190,1468
191,1500
192,1486
193,1453
194,1435
195,1378
196,1402
197,1435
198,1482
199,1457
200,1513
201,1580
202,1621
203,1609
204,1606
205,1612
206,1619
207,1712
208,1682
209,1688
210,1692
211,1715
212,1717
213,1757
214,1771
215,1802
216,1789
217,1791
218,1833
219,1836
220,1847
221,1879
222,1903
223,1879
224,1871
225,1784
226,1860
227,1838
228,1833
229,1869
230,1861
231,1857
232,1820
233,1843
234,1881
235,1897
236,1890
237,1925
238,1943
239,1969
240,1955
241,1922
242,1861
243,1992
244,2284
245,2661
246,2908
247,2953
248,3099
249,3283
250,3479
251,3689
252,3848
253,4025
254,4147
255,4151
256,4074
257,3998
258,3966
259,3888
260,3849
261,3809
262,3586
263,3597
264,3607
265,3351
266,3111
267,2843
268,2488
269,2107
270,1838
271,1616
272,1367
273,1139
274,941
275,539
276,234
277,68
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
