,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',4
4,'2000-05-01',7
5,'2000-06-01',7
6,'2000-07-01',7
7,'2000-08-01',7
8,'2000-09-01',8
9,'2000-10-01',10
10,'2000-11-01',10
11,'2000-12-01',10
12,'2001-01-01',10
13,'2001-02-01',11
14,'2001-03-01',11
15,'2001-04-01',11
16,'2001-05-01',7
17,'2001-06-01',7
18,'2001-07-01',6
19,'2001-08-01',5
20,'2001-09-01',6
21,'2001-10-01',7
22,'2001-11-01',7
23,'2001-12-01',7
24,'2002-01-01',7
25,'2002-02-01',7
26,'2002-03-01',7
27,'2002-04-01',7
28,'2002-05-01',8
29,'2002-06-01',8
30,'2002-07-01',8
31,'2002-08-01',8
32,'2002-09-01',8
33,'2002-10-01',8
34,'2002-11-01',9
35,'2002-12-01',8
36,'2003-01-01',7
37,'2003-02-01',8
38,'2003-03-01',12
39,'2003-04-01',12
40,'2003-05-01',12
41,'2003-06-01',12
42,'2003-07-01',12
43,'2003-08-01',12
44,'2003-09-01',12
45,'2003-10-01',12
46,'2003-11-01',13
47,'2003-12-01',13
48,'2004-01-01',13
49,'2004-02-01',13
50,'2004-03-01',13
51,'2004-04-01',15
52,'2004-05-01',13
53,'2004-06-01',12
54,'2004-07-01',12
55,'2004-08-01',12
56,'2004-09-01',14
57,'2004-10-01',13
58,'2004-11-01',14
59,'2004-12-01',14
60,'2005-01-01',14
61,'2005-02-01',18
62,'2005-03-01',19
63,'2005-04-01',18
64,'2005-05-01',18
65,'2005-06-01',18
66,'2005-07-01',20
67,'2005-08-01',21
68,'2005-09-01',25
69,'2005-10-01',26
70,'2005-11-01',32
71,'2005-12-01',34
72,'2006-01-01',36
73,'2006-02-01',43
74,'2006-03-01',46
75,'2006-04-01',47
76,'2006-05-01',49
77,'2006-06-01',53
78,'2006-07-01',58
79,'2006-08-01',61
80,'2006-09-01',69
81,'2006-10-01',76
82,'2006-11-01',87
83,'2006-12-01',109
84,'2007-01-01',110
85,'2007-02-01',130
86,'2007-03-01',135
87,'2007-04-01',142
88,'2007-05-01',151
89,'2007-06-01',156
90,'2007-07-01',163
91,'2007-08-01',163
92,'2007-09-01',168
93,'2007-10-01',188
94,'2007-11-01',197
95,'2007-12-01',188
96,'2008-01-01',192
97,'2008-02-01',605
98,'2008-03-01',820
99,'2008-04-01',878
100,'2008-05-01',1021
101,'2008-06-01',1057
102,'2008-07-01',1062
103,'2008-08-01',1120
104,'2008-09-01',1128
105,'2008-10-01',1211
106,'2008-11-01',1490
107,'2008-12-01',1590
108,'2009-01-01',1644
109,'2009-02-01',1986
110,'2009-03-01',1700
111,'2009-04-01',1755
112,'2009-05-01',1690
113,'2009-06-01',1627
114,'2009-07-01',1655
115,'2009-08-01',1657
116,'2009-09-01',1755
117,'2009-10-01',1986
118,'2009-11-01',2148
119,'2009-12-01',2083
120,'2010-01-01',2118
121,'2010-02-01',2586
122,'2010-03-01',2792
123,'2010-04-01',2613
124,'2010-05-01',2524
125,'2010-06-01',2623
126,'2010-07-01',2655
127,'2010-08-01',2630
128,'2010-09-01',2661
129,'2010-10-01',2882
130,'2010-11-01',3126
131,'2010-12-01',2917
132,'2011-01-01',2785
133,'2011-02-01',2757
134,'2011-03-01',3171
135,'2011-04-01',2886
136,'2011-05-01',2845
137,'2011-06-01',2727
138,'2011-07-01',2758
139,'2011-08-01',2726
140,'2011-09-01',2834
141,'2011-10-01',2996
142,'2011-11-01',3303
143,'2011-12-01',3207
144,'2012-01-01',3010
145,'2012-02-01',3574
146,'2012-03-01',3684
147,'2012-04-01',3537
148,'2012-05-01',3335
149,'2012-06-01',3349
150,'2012-07-01',3346
151,'2012-08-01',3436
152,'2012-09-01',3520
153,'2012-10-01',3864
154,'2012-11-01',3761
155,'2012-12-01',3644
156,'2013-01-01',3492
157,'2013-02-01',3544
158,'2013-03-01',3630
159,'2013-04-01',3669
160,'2013-05-01',3522
161,'2013-06-01',3424
162,'2013-07-01',3399
163,'2013-08-01',3331
164,'2013-09-01',3484
165,'2013-10-01',3942
166,'2013-11-01',3957
167,'2013-12-01',3994
168,'2014-01-01',3717
169,'2014-02-01',3826
170,'2014-03-01',3907
171,'2014-04-01',3814
172,'2014-05-01',3618
173,'2014-06-01',3601
174,'2014-07-01',3620
175,'2014-08-01',3566
176,'2014-09-01',3551
177,'2014-10-01',3784
178,'2014-11-01',3857
179,'2014-12-01',3640
180,'2015-01-01',3503
181,'2015-02-01',3715
182,'2015-03-01',3593
183,'2015-04-01',3835
184,'2015-05-01',3692
185,'2015-06-01',3648
186,'2015-07-01',3690
187,'2015-08-01',3727
188,'2015-09-01',3881
189,'2015-10-01',4268
190,'2015-11-01',4473
191,'2015-12-01',4451
192,'2016-01-01',4359
193,'2016-02-01',4407
194,'2016-03-01',4271
195,'2016-04-01',4359
196,'2016-05-01',4399
197,'2016-06-01',4341
198,'2016-07-01',4324
199,'2016-08-01',4546
200,'2016-09-01',4795
201,'2016-10-01',5168
202,'2016-11-01',5180
203,'2016-12-01',5401
204,'2017-01-01',5245
205,'2017-02-01',5214
206,'2017-03-01',5335
207,'2017-04-01',5287
208,'2017-05-01',5101
209,'2017-06-01',5163
210,'2017-07-01',5253
211,'2017-08-01',5175
212,'2017-09-01',5531
213,'2017-10-01',5688
214,'2017-11-01',5715
215,'2017-12-01',5451
216,'2018-01-01',5112
217,'2018-02-01',5270
218,'2018-03-01',5157
219,'2018-04-01',5045
220,'2018-05-01',5088
221,'2018-06-01',5132
222,'2018-07-01',5032
223,'2018-08-01',5224
224,'2018-09-01',5298
225,'2018-10-01',5480
226,'2018-11-01',5665
227,'2018-12-01',5477
228,'2019-01-01',5395
229,'2019-02-01',5501
230,'2019-03-01',5611
231,'2019-04-01',5713
232,'2019-05-01',5830
233,'2019-06-01',5755
234,'2019-07-01',5760
235,'2019-08-01',5628
236,'2019-09-01',5572
237,'2019-10-01',5646
238,'2019-11-01',5761
239,'2019-12-01',5737
240,'2020-01-01',5351
241,'2020-02-01',5640
242,'2020-03-01',5568
243,'2020-04-01',5697
244,'2020-05-01',5730
245,'2020-06-01',5472
246,'2020-07-01',5547
247,'2020-08-01',5453
248,'2020-09-01',5594
249,'2020-10-01',5725
250,'2020-11-01',6013
251,'2020-12-01',6228
252,'2021-01-01',6200
253,'2021-02-01',6343
254,'2021-03-01',6519
255,'2021-04-01',6562
256,'2021-05-01',6312
257,'2021-06-01',6329
258,'2021-07-01',6170
259,'2021-08-01',6218
260,'2021-09-01',6442
261,'2021-10-01',6670
262,'2021-11-01',6420
263,'2021-12-01',6608
0,'2022-01-01',6392
1,'2022-02-01',6149
2,'2022-03-01',5800
3,'2022-04-01',5249
4,'2022-05-01',4593
5,'2022-06-01',3842
6,'2022-07-01',3508
7,'2022-08-01',3323
8,'2022-09-01',3011
9,'2022-10-01',2618
10,'2022-11-01',2202
11,'2022-12-01',1474
12,'2023-01-01',601
13,'2023-02-01',229
14,'2023-03-01',0
15,'2023-04-01',0
16,'2023-05-01',0
17,'2023-06-01',0
18,'2023-07-01',0
19,'2023-08-01',0
20,'2023-09-01',0
21,'2023-10-01',0
22,'2023-11-01',0
23,'2023-12-01',0
