,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track
0,2000-01-01,0,0,0,0,0,0,0,0
1,2000-02-01,0,0,0,0,0,0,0,0
2,2000-03-01,58,6,3,0,3,0,45,8
3,2000-04-01,72,7,3,0,4,0,55,11
4,2000-05-01,88,10,3,0,7,0,68,13
5,2000-06-01,96,11,3,1,7,0,74,14
6,2000-07-01,101,13,5,1,7,0,76,15
7,2000-08-01,119,13,5,1,7,0,92,17
8,2000-09-01,215,15,5,2,8,0,184,21
9,2000-10-01,269,17,5,2,10,0,234,24
10,2000-11-01,327,17,5,2,10,0,292,24
11,2000-12-01,378,17,5,2,10,0,342,25
12,2001-01-01,409,18,6,2,10,0,371,27
13,2001-02-01,616,22,8,3,11,0,570,33
14,2001-03-01,753,21,7,3,11,0,706,35
15,2001-04-01,779,22,7,4,11,0,730,36
16,2001-05-01,804,19,8,4,7,0,755,39
17,2001-06-01,811,18,8,3,7,0,763,39
18,2001-07-01,817,16,7,3,6,0,773,36
19,2001-08-01,806,15,7,3,5,0,764,35
20,2001-09-01,807,14,6,2,6,0,764,37
21,2001-10-01,814,15,6,2,7,0,770,37
22,2001-11-01,775,15,6,2,7,0,729,39
23,2001-12-01,742,15,6,2,7,0,695,40
24,2002-01-01,684,15,6,2,7,0,639,39
25,2002-02-01,665,15,6,2,7,0,621,37
26,2002-03-01,662,14,5,2,7,0,621,35
27,2002-04-01,647,14,5,2,7,0,607,34
28,2002-05-01,394,13,3,2,8,0,358,31
29,2002-06-01,388,17,6,3,8,0,346,37
30,2002-07-01,394,17,6,3,8,0,351,38
31,2002-08-01,404,18,7,3,8,0,360,38
32,2002-09-01,445,19,7,4,8,0,399,39
33,2002-10-01,485,19,8,3,8,0,437,43
34,2002-11-01,503,22,10,3,9,0,449,48
35,2002-12-01,480,21,10,3,8,0,424,50
36,2003-01-01,457,20,9,4,7,0,400,50
37,2003-02-01,478,21,9,4,8,0,416,55
38,2003-03-01,834,26,9,5,12,1,762,60
39,2003-04-01,853,27,9,6,12,1,782,58
40,2003-05-01,825,30,10,8,12,1,751,61
41,2003-06-01,847,28,8,8,12,1,773,60
42,2003-07-01,856,28,8,8,12,1,781,61
43,2003-08-01,860,26,6,8,12,1,788,59
44,2003-09-01,973,27,6,9,12,1,898,61
45,2003-10-01,1012,27,6,9,12,1,936,62
46,2003-11-01,1020,28,6,9,13,1,946,60
47,2003-12-01,1032,28,6,9,13,1,956,62
48,2004-01-01,982,28,6,9,13,1,907,61
49,2004-02-01,987,28,6,9,13,1,910,63
50,2004-03-01,1009,31,6,12,13,1,930,64
51,2004-04-01,1071,31,5,11,15,1,992,64
52,2004-05-01,1054,30,5,12,13,1,978,61
53,2004-06-01,818,30,6,12,12,1,742,62
54,2004-07-01,857,31,7,12,12,1,777,66
55,2004-08-01,857,31,7,12,12,1,778,65
56,2004-09-01,997,36,8,14,14,1,914,66
57,2004-10-01,1038,39,10,16,13,1,950,69
58,2004-11-01,1086,43,11,18,14,1,989,76
59,2004-12-01,1083,42,11,17,14,1,990,73
60,2005-01-01,1007,46,13,19,14,1,905,80
61,2005-02-01,1090,57,18,21,18,1,970,90
62,2005-03-01,1154,62,20,23,19,1,1027,93
63,2005-04-01,1103,65,20,27,18,1,971,98
64,2005-05-01,1068,65,21,26,18,1,934,100
65,2005-06-01,1080,66,20,28,18,1,944,99
66,2005-07-01,1104,70,21,29,20,1,966,100
67,2005-08-01,1191,72,23,28,21,1,1044,108
68,2005-09-01,1300,84,29,30,25,2,1134,118
69,2005-10-01,1386,92,33,33,26,2,1210,122
70,2005-11-01,1551,102,33,37,32,2,1359,128
71,2005-12-01,1674,114,37,43,34,2,1461,140
72,2006-01-01,1670,123,42,45,36,2,1439,154
73,2006-02-01,1898,134,42,49,43,3,1651,162
74,2006-03-01,2153,146,46,54,46,3,1893,167
75,2006-04-01,2393,154,51,56,47,3,2116,178
76,2006-05-01,2534,168,59,60,49,3,2237,189
77,2006-06-01,2698,184,66,65,53,3,2371,210
78,2006-07-01,2959,195,67,70,58,5,2604,228
79,2006-08-01,3062,205,71,73,61,7,2694,236
80,2006-09-01,3397,236,76,91,69,7,2991,248
81,2006-10-01,3573,256,83,97,76,7,3138,267
82,2006-11-01,4073,283,92,104,87,8,3606,278
83,2006-12-01,4293,312,97,106,109,9,3789,289
84,2007-01-01,4357,329,106,113,110,11,3838,289
85,2007-02-01,4907,374,115,129,130,12,4334,300
86,2007-03-01,5263,399,127,137,135,13,4652,316
87,2007-04-01,5484,432,139,151,142,13,4839,321
88,2007-05-01,5568,447,141,155,151,13,4907,330
89,2007-06-01,5707,466,148,162,156,13,5024,336
90,2007-07-01,5693,489,156,170,163,12,4987,341
91,2007-08-01,5791,502,164,175,163,11,5072,344
92,2007-09-01,5848,513,164,181,168,14,5112,349
93,2007-10-01,6027,538,167,183,188,14,5259,355
94,2007-11-01,6030,571,181,193,197,14,5230,361
95,2007-12-01,5956,599,199,212,188,15,5135,358
96,2008-01-01,5953,621,209,220,192,15,5114,360
97,2008-02-01,6317,1123,252,266,605,16,4980,358
98,2008-03-01,6378,1509,298,391,820,17,4659,358
99,2008-04-01,6339,1631,323,430,878,17,4495,366
100,2008-05-01,6328,1875,359,495,1021,18,4242,371
101,2008-06-01,6301,1961,381,523,1057,18,4141,366
102,2008-07-01,6336,1998,402,534,1062,19,4144,362
103,2008-08-01,6395,2105,440,545,1120,19,4104,362
104,2008-09-01,6410,2147,451,568,1128,18,4080,368
105,2008-10-01,6542,2306,479,616,1211,17,4052,382
106,2008-11-01,6897,2655,514,651,1490,16,4062,384
107,2008-12-01,6808,2812,555,667,1590,18,3817,386
108,2009-01-01,6872,2920,596,680,1644,20,3771,390
109,2009-02-01,7289,3293,585,722,1986,22,3812,394
110,2009-03-01,7065,3026,562,764,1700,20,3854,393
111,2009-04-01,7207,3125,556,814,1755,21,3901,390
112,2009-05-01,7055,2973,569,714,1690,21,3894,394
113,2009-06-01,6947,2883,578,678,1627,22,3877,390
114,2009-07-01,6912,2885,566,664,1655,21,3845,388
115,2009-08-01,6828,2864,530,677,1657,21,3782,383
116,2009-09-01,6950,3028,540,733,1755,20,3741,384
117,2009-10-01,7342,3411,558,867,1986,23,3757,388
118,2009-11-01,7528,3633,572,913,2148,24,3715,397
119,2009-12-01,7406,3548,569,896,2083,24,3685,391
120,2010-01-01,7414,3595,579,898,2118,22,3650,390
121,2010-02-01,7991,4134,591,957,2586,21,3696,387
122,2010-03-01,8346,4456,644,1020,2792,24,3720,400
123,2010-04-01,8226,4319,675,1031,2613,26,3731,409
124,2010-05-01,8151,4182,706,952,2524,27,3788,413
125,2010-06-01,8376,4323,749,951,2623,30,3869,426
126,2010-07-01,8516,4386,787,944,2655,31,3943,432
127,2010-08-01,8657,4395,822,943,2630,30,4070,434
128,2010-09-01,8879,4459,850,948,2661,32,4226,439
129,2010-10-01,9388,4824,905,1037,2882,33,4370,446
130,2010-11-01,9890,5123,953,1044,3126,34,4574,447
131,2010-12-01,9913,4981,1052,1012,2917,36,4737,445
132,2011-01-01,9802,4772,1080,907,2785,37,4830,444
133,2011-02-01,10017,4860,1133,970,2757,39,4955,449
134,2011-03-01,10704,5419,1138,1110,3171,44,5080,453
135,2011-04-01,10531,5180,1154,1140,2886,42,5142,450
136,2011-05-01,10522,5181,1183,1153,2845,47,5139,444
137,2011-06-01,10464,5055,1178,1150,2727,49,5199,456
138,2011-07-01,10502,5101,1210,1133,2758,49,5195,448
139,2011-08-01,10494,5077,1193,1158,2726,54,5216,446
140,2011-09-01,10684,5243,1198,1211,2834,54,5241,450
141,2011-10-01,10965,5497,1203,1298,2996,55,5269,453
142,2011-11-01,11330,5865,1245,1317,3303,55,5267,445
143,2011-12-01,11137,5745,1251,1287,3207,56,5197,445
144,2012-01-01,10877,5488,1281,1197,3010,60,5194,443
145,2012-02-01,11634,6182,1244,1364,3574,62,5250,451
146,2012-03-01,11986,6463,1277,1502,3684,66,5313,458
147,2012-04-01,11959,6363,1295,1531,3537,65,5388,458
148,2012-05-01,11785,6127,1400,1392,3335,69,5455,464
149,2012-06-01,11760,6020,1423,1248,3349,68,5544,464
150,2012-07-01,11793,6002,1429,1227,3346,68,5596,471
151,2012-08-01,11955,6105,1452,1217,3436,65,5650,479
152,2012-09-01,12077,6217,1460,1237,3520,63,5658,490
153,2012-10-01,12529,6691,1506,1321,3864,64,5641,489
154,2012-11-01,12499,6587,1487,1339,3761,67,5706,497
155,2012-12-01,12390,6412,1516,1252,3644,68,5775,496
156,2013-01-01,12111,6160,1479,1189,3492,67,5747,496
157,2013-02-01,12355,6337,1479,1314,3544,66,5811,500
158,2013-03-01,12775,6562,1478,1454,3630,62,5999,515
159,2013-04-01,12752,6542,1452,1421,3669,65,5993,514
160,2013-05-01,12522,6262,1444,1296,3522,63,6035,510
161,2013-06-01,12424,6105,1449,1232,3424,65,6095,512
162,2013-07-01,12420,6103,1490,1214,3399,64,6093,507
163,2013-08-01,12389,6026,1471,1224,3331,65,6144,492
164,2013-09-01,12687,6241,1497,1260,3484,65,6228,497
165,2013-10-01,13380,6892,1565,1385,3942,65,6269,505
166,2013-11-01,13483,6934,1600,1377,3957,66,6326,511
167,2013-12-01,13511,6957,1611,1352,3994,69,6334,502
168,2014-01-01,13080,6607,1601,1289,3717,67,6257,495
169,2014-02-01,13367,6832,1552,1454,3826,72,6321,502
170,2014-03-01,13470,6992,1573,1512,3907,73,6271,503
171,2014-04-01,13447,6858,1587,1457,3814,67,6381,500
172,2014-05-01,13091,6494,1532,1344,3618,70,6394,496
173,2014-06-01,12802,6415,1530,1284,3601,67,6195,489
174,2014-07-01,12636,6373,1507,1246,3620,63,6066,489
175,2014-08-01,12352,6262,1444,1252,3566,64,5897,485
176,2014-09-01,12269,6271,1422,1298,3551,70,5801,490
177,2014-10-01,12521,6565,1380,1401,3784,81,5752,498
178,2014-11-01,12578,6641,1368,1416,3857,101,5709,507
179,2014-12-01,12241,6289,1313,1336,3640,112,5716,501
180,2015-01-01,12049,6117,1332,1282,3503,131,5691,506
181,2015-02-01,12422,6467,1383,1369,3715,176,5693,503
182,2015-03-01,12308,6327,1368,1366,3593,230,5682,506
183,2015-04-01,12565,6638,1404,1399,3835,277,5606,517
184,2015-05-01,12180,6371,1411,1268,3692,303,5476,509
185,2015-06-01,11969,6283,1392,1243,3648,328,5339,501
186,2015-07-01,11914,6341,1391,1260,3690,346,5218,500
187,2015-08-01,12089,6407,1408,1272,3727,377,5306,510
188,2015-09-01,12406,6644,1458,1305,3881,409,5369,502
189,2015-10-01,13165,7237,1442,1527,4268,463,5511,513
190,2015-11-01,13445,7511,1468,1570,4473,483,5511,510
191,2015-12-01,13264,7479,1500,1528,4451,499,5360,504
192,2016-01-01,13026,7269,1486,1424,4359,508,5329,489
193,2016-02-01,13088,7368,1453,1508,4407,522,5286,484
194,2016-03-01,13085,7339,1435,1633,4271,532,5306,484
195,2016-04-01,13198,7406,1378,1669,4359,518,5353,480
196,2016-05-01,13225,7363,1402,1562,4399,514,5428,476
197,2016-06-01,13248,7273,1435,1497,4341,529,5520,477
198,2016-07-01,13491,7254,1482,1448,4324,546,5764,481
199,2016-08-01,13730,7499,1457,1496,4546,551,5752,474
200,2016-09-01,14238,7903,1513,1595,4795,565,5857,468
201,2016-10-01,14944,8523,1580,1775,5168,557,5959,449
202,2016-11-01,15149,8575,1621,1774,5180,565,6105,449
203,2016-12-01,15572,8774,1609,1764,5401,540,6335,451
204,2017-01-01,15318,8472,1606,1621,5245,514,6390,441
205,2017-02-01,15593,8541,1612,1715,5214,493,6605,437
206,2017-03-01,15986,8772,1619,1818,5335,466,6793,435
207,2017-04-01,16131,8862,1712,1863,5287,443,6861,442
208,2017-05-01,15823,8582,1682,1799,5101,396,6857,439
209,2017-06-01,15842,8645,1688,1794,5163,366,6835,445
210,2017-07-01,15879,8719,1692,1774,5253,338,6812,443
211,2017-08-01,15946,8692,1715,1802,5175,314,6917,440
212,2017-09-01,16502,9139,1717,1891,5531,288,7049,426
213,2017-10-01,16875,9475,1757,2030,5688,264,7104,422
214,2017-11-01,16911,9486,1771,2000,5715,236,7140,417
215,2017-12-01,16617,9220,1802,1967,5451,233,7122,412
216,2018-01-01,16178,8769,1789,1868,5112,230,7136,406
217,2018-02-01,16424,8986,1791,1925,5270,225,7169,398
218,2018-03-01,16362,8914,1833,1924,5157,221,7184,393
219,2018-04-01,16108,8684,1836,1803,5045,216,7165,377
220,2018-05-01,16116,8663,1847,1728,5088,212,7193,381
221,2018-06-01,16025,8696,1879,1685,5132,208,7078,379
222,2018-07-01,15911,8597,1903,1662,5032,201,7073,383
223,2018-08-01,16319,8953,1879,1850,5224,197,7130,374
224,2018-09-01,16618,9182,1871,2013,5298,191,7200,377
225,2018-10-01,16753,9300,1784,2036,5480,196,7210,376
226,2018-11-01,17288,9805,1860,2280,5665,194,7243,368
227,2018-12-01,17011,9544,1838,2229,5477,197,7228,362
228,2019-01-01,16690,9309,1833,2081,5395,195,7140,358
229,2019-02-01,16945,9506,1869,2136,5501,194,7199,354
230,2019-03-01,17128,9639,1861,2167,5611,191,7246,350
231,2019-04-01,17403,9791,1857,2221,5713,188,7369,350
232,2019-05-01,17377,9831,1820,2181,5830,177,7306,339
233,2019-06-01,17348,9703,1843,2105,5755,175,7404,345
234,2019-07-01,17328,9731,1881,2090,5760,180,7354,337
235,2019-08-01,17099,9575,1897,2050,5628,177,7278,338
236,2019-09-01,17089,9602,1890,2140,5572,188,7234,341
237,2019-10-01,17268,9788,1925,2217,5646,188,7232,335
238,2019-11-01,17439,9865,1943,2161,5761,183,7325,336
239,2019-12-01,17243,9737,1969,2031,5737,183,7258,336
240,2020-01-01,16579,9123,1955,1817,5351,183,7212,331
241,2020-02-01,16843,9496,1922,1934,5640,177,7112,329
242,2020-03-01,16841,9449,1861,2020,5568,182,7151,337
243,2020-04-01,17251,9773,1992,2084,5697,181,7243,335
244,2020-05-01,17830,10086,2284,2072,5730,194,7511,339
245,2020-06-01,18108,10140,2661,2007,5472,197,7741,324
