,Date
0,2013-01-01
1,2013-02-01
2,2013-03-01
3,2013-04-01
4,2013-05-01
5,2013-06-01
6,2013-07-01
7,2013-08-01
8,2013-09-01
9,2013-10-01
10,2013-11-01
11,2013-12-01
12,2014-01-01
13,2014-02-01
14,2014-03-01
15,2014-04-01
16,2014-05-01
17,2014-06-01
18,2014-07-01
19,2014-08-01
20,2014-09-01
21,2014-10-01
22,2014-11-01
23,2014-12-01
24,2015-01-01
25,2015-02-01
26,2015-03-01
27,2015-04-01
28,2015-05-01
29,2015-06-01
30,2015-07-01
31,2015-08-01
32,2015-09-01
33,2015-10-01
34,2015-11-01
35,2015-12-01
36,2016-01-01
37,2016-02-01
38,2016-03-01
39,2016-04-01
40,2016-05-01
41,2016-06-01
42,2016-07-01
43,2016-08-01
44,2016-09-01
45,2016-10-01
46,2016-11-01
47,2016-12-01
48,2017-01-01
49,2017-02-01
50,2017-03-01
51,2017-04-01
52,2017-05-01
53,2017-06-01
54,2017-07-01
55,2017-08-01
56,2017-09-01
57,2017-10-01
58,2017-11-01
59,2017-12-01
60,2018-01-01
61,2018-02-01
62,2018-03-01
63,2018-04-01
64,2018-05-01
65,2018-06-01
66,2018-07-01
67,2018-08-01
68,2018-09-01
69,2018-10-01
70,2018-11-01
71,2018-12-01
72,2019-01-01
73,2019-02-01
74,2019-03-01
75,2019-04-01
76,2019-05-01
77,2019-06-01
78,2019-07-01
79,2019-08-01
80,2019-09-01
81,2019-10-01
82,2019-11-01
83,2019-12-01
84,2020-01-01
85,2020-02-01
86,2020-03-01
87,2020-04-01
88,2020-05-01
89,2020-06-01
90,2020-07-01
91,2020-08-01
92,2020-09-01
93,2020-10-01
94,2020-11-01
95,2020-12-01
96,2021-01-01
97,2021-02-01
98,2021-03-01
99,2021-04-01
100,2021-05-01
101,2021-06-01
102,2021-07-01
103,2021-08-01
104,2021-09-01
105,2021-10-01
106,2021-11-01
107,2021-12-01
108,2022-01-01
109,2022-02-01
110,2022-03-01
111,2022-04-01
112,2022-05-01
113,2022-06-01
114,2022-07-01
115,2022-08-01
116,2022-09-01
117,2022-10-01
118,2022-11-01
119,2022-12-01
120,2023-01-01
121,2023-02-01
122,2023-03-01
123,2023-04-01
124,2023-05-01
125,2023-06-01
126,2023-07-01
127,2023-08-01
128,2023-09-01
129,2023-10-01
130,2023-11-01
131,2023-12-01
