,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',58
3,'2000-04-01',72
4,'2000-05-01',88
5,'2000-06-01',96
6,'2000-07-01',101
7,'2000-08-01',119
8,'2000-09-01',215
9,'2000-10-01',269
10,'2000-11-01',327
11,'2000-12-01',378
12,'2001-01-01',409
13,'2001-02-01',616
14,'2001-03-01',759
15,'2001-04-01',789
16,'2001-05-01',833
17,'2001-06-01',848
18,'2001-07-01',859
19,'2001-08-01',866
20,'2001-09-01',887
21,'2001-10-01',920
22,'2001-11-01',951
23,'2001-12-01',986
24,'2002-01-01',997
25,'2002-02-01',1027
26,'2002-03-01',1078
27,'2002-04-01',1090
28,'2002-05-01',1106
29,'2002-06-01',1130
30,'2002-07-01',1149
31,'2002-08-01',1166
32,'2002-09-01',1207
33,'2002-10-01',1259
34,'2002-11-01',1289
35,'2002-12-01',1305
