,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',4
4,'2000-05-01',7
5,'2000-06-01',7
6,'2000-07-01',7
7,'2000-08-01',7
8,'2000-09-01',8
9,'2000-10-01',10
10,'2000-11-01',10
11,'2000-12-01',10
12,'2001-01-01',10
13,'2001-02-01',11
14,'2001-03-01',11
15,'2001-04-01',11
16,'2001-05-01',11
17,'2001-06-01',11
18,'2001-07-01',11
19,'2001-08-01',11
20,'2001-09-01',12
21,'2001-10-01',12
22,'2001-11-01',12
23,'2001-12-01',12
24,'2002-01-01',12
25,'2002-02-01',12
26,'2002-03-01',12
27,'2002-04-01',12
28,'2002-05-01',13
29,'2002-06-01',13
30,'2002-07-01',13
31,'2002-08-01',13
32,'2002-09-01',13
33,'2002-10-01',14
34,'2002-11-01',15
35,'2002-12-01',15
36,'2003-01-01',15
37,'2003-02-01',15
38,'2003-03-01',19
39,'2003-04-01',19
40,'2003-05-01',19
41,'2003-06-01',19
42,'2003-07-01',19
43,'2003-08-01',19
44,'2003-09-01',19
45,'2003-10-01',19
46,'2003-11-01',20
47,'2003-12-01',20
48,'2004-01-01',20
49,'2004-02-01',20
50,'2004-03-01',20
51,'2004-04-01',22
52,'2004-05-01',22
53,'2004-06-01',22
54,'2004-07-01',22
55,'2004-08-01',22
56,'2004-09-01',24
57,'2004-10-01',24
58,'2004-11-01',25
59,'2004-12-01',25
60,'2005-01-01',25
61,'2005-02-01',28
62,'2005-03-01',29
63,'2005-04-01',29
64,'2005-05-01',29
65,'2005-06-01',30
66,'2005-07-01',32
67,'2005-08-01',33
68,'2005-09-01',36
69,'2005-10-01',37
70,'2005-11-01',43
71,'2005-12-01',45
72,'2006-01-01',47
73,'2006-02-01',54
74,'2006-03-01',58
75,'2006-04-01',59
76,'2006-05-01',63
77,'2006-06-01',67
78,'2006-07-01',72
79,'2006-08-01',75
80,'2006-09-01',83
81,'2006-10-01',90
82,'2006-11-01',103
83,'2006-12-01',127
84,'2007-01-01',128
85,'2007-02-01',150
86,'2007-03-01',157
87,'2007-04-01',167
88,'2007-05-01',179
89,'2007-06-01',186
90,'2007-07-01',195
91,'2007-08-01',198
92,'2007-09-01',204
93,'2007-10-01',226
94,'2007-11-01',240
95,'2007-12-01',255
