,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',45
3,'2000-04-01',55
4,'2000-05-01',68
5,'2000-06-01',74
6,'2000-07-01',76
7,'2000-08-01',92
8,'2000-09-01',184
9,'2000-10-01',234
10,'2000-11-01',292
11,'2000-12-01',342
12,'2001-01-01',371
13,'2001-02-01',570
14,'2001-03-01',710
15,'2001-04-01',738
16,'2001-05-01',778
17,'2001-06-01',793
18,'2001-07-01',804
19,'2001-08-01',811
20,'2001-09-01',827
21,'2001-10-01',860
22,'2001-11-01',889
23,'2001-12-01',921
24,'2002-01-01',931
25,'2002-02-01',960
26,'2002-03-01',1011
27,'2002-04-01',1023
28,'2002-05-01',1038
29,'2002-06-01',1053
30,'2002-07-01',1071
31,'2002-08-01',1086
32,'2002-09-01',1125
33,'2002-10-01',1173
34,'2002-11-01',1197
35,'2002-12-01',1211
36,'2003-01-01',1230
37,'2003-02-01',1260
38,'2003-03-01',1625
39,'2003-04-01',1657
40,'2003-05-01',1694
41,'2003-06-01',1736
42,'2003-07-01',1762
43,'2003-08-01',1782
44,'2003-09-01',1910
45,'2003-10-01',1961
46,'2003-11-01',1998
47,'2003-12-01',2027
48,'2004-01-01',2041
49,'2004-02-01',2067
50,'2004-03-01',2131
51,'2004-04-01',2225
52,'2004-05-01',2301
53,'2004-06-01',2325
54,'2004-07-01',2397
55,'2004-08-01',2422
56,'2004-09-01',2580
57,'2004-10-01',2633
58,'2004-11-01',2694
59,'2004-12-01',2737
60,'2005-01-01',2782
61,'2005-02-01',2864
62,'2005-03-01',2963
63,'2005-04-01',3028
64,'2005-05-01',3088
65,'2005-06-01',3122
66,'2005-07-01',3207
67,'2005-08-01',3307
68,'2005-09-01',3440
69,'2005-10-01',3558
70,'2005-11-01',3750
71,'2005-12-01',3919
72,'2006-01-01',4029
73,'2006-02-01',4276
74,'2006-03-01',4581
75,'2006-04-01',4879
76,'2006-05-01',5099
77,'2006-06-01',5274
78,'2006-07-01',5580
79,'2006-08-01',5770
80,'2006-09-01',6135
81,'2006-10-01',6377
82,'2006-11-01',6993
83,'2006-12-01',7348
84,'2007-01-01',7535
85,'2007-02-01',8239
86,'2007-03-01',8731
87,'2007-04-01',9178
88,'2007-05-01',9501
89,'2007-06-01',9771
90,'2007-07-01',10018
91,'2007-08-01',10267
92,'2007-09-01',10557
93,'2007-10-01',10900
94,'2007-11-01',11399
95,'2007-12-01',11722
