,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
0,2000-01-01,0,0,0,0,0,0,0,0,0,,,,,
1,2000-02-01,0,0,0,0,0,0,0,0,0,,,,,
2,2000-03-01,58,6,3,0,3,8,45,8,16,8.955223880597014,11.940298507462686,11.940298507462686,67.16417910447761,23.88059701492537
3,2000-04-01,72,7,3,0,4,11,55,11,22,8.333333333333332,13.095238095238097,13.095238095238097,65.47619047619048,26.190476190476193
4,2000-05-01,88,10,3,0,7,13,68,13,26,9.615384615384617,12.5,12.5,65.38461538461539,25.0
5,2000-06-01,96,11,3,1,7,14,74,14,28,9.734513274336283,12.389380530973451,12.389380530973451,65.48672566371681,24.778761061946902
6,2000-07-01,101,13,5,1,7,15,76,15,30,10.92436974789916,12.605042016806722,12.605042016806722,63.86554621848739,25.210084033613445
7,2000-08-01,119,13,5,1,7,17,92,17,34,9.352517985611511,12.23021582733813,12.23021582733813,66.18705035971223,24.46043165467626
8,2000-09-01,215,15,5,2,8,21,184,21,42,6.224066390041494,8.71369294605809,8.71369294605809,76.34854771784232,17.42738589211618
9,2000-10-01,269,17,5,2,10,24,234,24,48,5.68561872909699,8.02675585284281,8.02675585284281,78.26086956521739,16.05351170568562
10,2000-11-01,327,17,5,2,10,24,292,24,48,4.761904761904762,6.722689075630252,6.722689075630252,81.79271708683473,13.445378151260504
11,2000-12-01,378,17,5,2,10,25,342,25,50,4.156479217603912,6.112469437652812,6.112469437652812,83.61858190709046,12.224938875305623
12,2001-01-01,409,18,6,2,10,27,371,27,54,4.063205417607223,6.094808126410835,6.094808126410835,83.7471783295711,12.18961625282167
13,2001-02-01,616,22,8,3,11,33,570,33,66,3.343465045592705,5.015197568389058,5.015197568389058,86.62613981762918,10.030395136778116
14,2001-03-01,759,23,9,3,11,35,710,35,70,2.86425902864259,4.35865504358655,4.35865504358655,88.4184308841843,8.7173100871731
15,2001-04-01,789,24,9,4,11,36,738,36,72,2.877697841726619,4.316546762589928,4.316546762589928,88.48920863309353,8.633093525179856
16,2001-05-01,833,25,10,4,11,40,778,40,80,2.8312570781426953,4.530011325028313,4.530011325028313,88.10872027180068,9.060022650056625
17,2001-06-01,848,25,10,4,11,40,793,40,80,2.783964365256125,4.4543429844097995,4.4543429844097995,88.30734966592428,8.908685968819599
18,2001-07-01,859,25,10,4,11,40,804,40,80,2.7502750275027505,4.400440044004401,4.400440044004401,88.44884488448845,8.800880088008801
19,2001-08-01,866,25,10,4,11,40,811,40,80,2.7292576419213974,4.366812227074235,4.366812227074235,88.53711790393012,8.73362445414847
20,2001-09-01,887,26,10,4,12,45,827,45,90,2.757158006362672,4.7720042417815485,4.7720042417815485,87.69883351007424,9.544008483563097
21,2001-10-01,920,26,10,4,12,45,860,45,90,2.663934426229508,4.610655737704918,4.610655737704918,88.11475409836066,9.221311475409836
22,2001-11-01,951,26,10,4,12,47,889,47,94,2.576808721506442,4.658077304261645,4.658077304261645,88.10703666997026,9.31615460852329
23,2001-12-01,986,26,10,4,12,50,921,50,100,2.483285577841452,4.775549188156638,4.775549188156638,87.96561604584528,9.551098376313275
24,2002-01-01,997,27,11,4,12,51,931,51,102,2.547169811320755,4.811320754716982,4.811320754716982,87.83018867924528,9.622641509433963
25,2002-02-01,1027,28,12,4,12,51,960,51,102,2.5688073394495414,4.678899082568807,4.678899082568807,88.07339449541286,9.357798165137615
26,2002-03-01,1078,28,12,4,12,51,1011,51,102,2.4539877300613497,4.469763365468887,4.469763365468887,88.60648553900089,8.939526730937773
27,2002-04-01,1090,28,12,4,12,51,1023,51,102,2.4284475281873377,4.423243712055507,4.423243712055507,88.72506504770165,8.846487424111015
28,2002-05-01,1106,29,12,4,13,52,1038,52,104,2.4765157984628523,4.44064901793339,4.44064901793339,88.64218616567037,8.88129803586678
29,2002-06-01,1130,33,15,5,13,61,1053,61,122,2.7317880794701987,5.049668874172186,5.049668874172186,87.16887417218543,10.099337748344372
30,2002-07-01,1149,33,15,5,13,62,1071,62,124,2.687296416938111,5.048859934853421,5.048859934853421,87.21498371335505,10.097719869706841
31,2002-08-01,1166,34,16,5,13,63,1086,63,126,2.7287319422150884,5.056179775280898,5.056179775280898,87.1589085072231,10.112359550561797
32,2002-09-01,1207,34,16,5,13,65,1125,65,130,2.6377036462373935,5.04266873545384,5.04266873545384,87.27695888285493,10.08533747090768
33,2002-10-01,1259,36,17,5,14,69,1173,69,138,2.6726057906458798,5.122494432071269,5.122494432071269,87.08240534521158,10.244988864142538
34,2002-11-01,1289,39,19,5,15,74,1197,74,148,2.8179190751445087,5.346820809248555,5.346820809248555,86.48843930635837,10.69364161849711
35,2002-12-01,1305,39,19,5,15,76,1211,76,152,2.7817403708987163,5.420827389443652,5.420827389443652,86.37660485021398,10.841654778887303
36,2003-01-01,1326,40,19,6,15,77,1230,77,154,2.8089887640449436,5.407303370786517,5.407303370786517,86.37640449438202,10.814606741573034
37,2003-02-01,1359,40,19,6,15,80,1260,80,160,2.73972602739726,5.47945205479452,5.47945205479452,86.3013698630137,10.95890410958904
38,2003-03-01,1733,45,19,7,19,84,1625,84,168,2.4483133841131663,4.570184983677911,4.570184983677911,88.41131664853101,9.140369967355822
39,2003-04-01,1767,46,19,8,19,85,1657,85,170,2.4559530165509877,4.538174052322478,4.538174052322478,88.46769887880406,9.076348104644955
40,2003-05-01,1807,49,20,10,19,88,1694,88,176,2.553413236060448,4.5857217300677435,4.5857217300677435,88.27514330380406,9.171443460135487
41,2003-06-01,1853,50,20,11,19,91,1736,91,182,2.540650406504065,4.623983739837398,4.623983739837398,88.21138211382113,9.247967479674797
42,2003-07-01,1880,50,20,11,19,92,1762,92,184,2.50501002004008,4.609218436873747,4.609218436873747,88.27655310621243,9.218436873747494
43,2003-08-01,1901,50,20,11,19,93,1782,93,186,2.4777006937561943,4.608523290386522,4.608523290386522,88.30525272547077,9.217046580773044
44,2003-09-01,2032,51,20,12,19,95,1910,95,190,2.3709902370990235,4.416550441655044,4.416550441655044,88.7959088795909,8.833100883310088
45,2003-10-01,2085,51,20,12,19,97,1961,97,194,2.3118766999093383,4.397098821396192,4.397098821396192,88.89392565729828,8.794197642792383
46,2003-11-01,2123,52,20,12,20,98,1998,98,196,2.315227070347284,4.363312555654497,4.363312555654497,88.95814781834372,8.726625111308994
47,2003-12-01,2156,53,21,12,20,101,2027,101,202,2.322524101665206,4.425942156003506,4.425942156003506,88.82559158632777,8.851884312007012
48,2004-01-01,2170,53,21,12,20,101,2041,101,202,2.308362369337979,4.398954703832753,4.398954703832753,88.89372822299651,8.797909407665506
49,2004-02-01,2199,53,21,12,20,104,2067,104,208,2.276632302405498,4.4673539518900345,4.4673539518900345,88.78865979381443,8.934707903780069
50,2004-03-01,2266,55,21,14,20,106,2131,106,212,2.293577981651376,4.420350291909925,4.420350291909925,88.86572143452878,8.84070058381985
51,2004-04-01,2364,58,21,15,22,108,2225,108,216,2.3209283713485394,4.321728691476591,4.321728691476591,89.03561424569828,8.643457382953182
52,2004-05-01,2442,59,21,16,22,109,2301,109,218,2.288595810705974,4.228083785880528,4.228083785880528,89.25523661753297,8.456167571761055
53,2004-06-01,2469,59,21,16,22,112,2325,112,224,2.2622699386503067,4.294478527607362,4.294478527607362,89.14877300613497,8.588957055214724
54,2004-07-01,2546,59,21,16,22,117,2397,117,234,2.193308550185874,4.349442379182157,4.349442379182157,89.10780669144981,8.698884758364313
55,2004-08-01,2573,60,21,17,22,118,2422,118,236,2.207505518763797,4.341427520235467,4.341427520235467,89.10963944076526,8.682855040470933
56,2004-09-01,2738,67,22,21,24,120,2580,120,240,2.3207481815032907,4.156563907170073,4.156563907170073,89.36612400415656,8.313127814340145
57,2004-10-01,2797,71,24,23,24,123,2633,123,246,2.406779661016949,4.169491525423729,4.169491525423729,89.2542372881356,8.338983050847459
58,2004-11-01,2867,74,25,24,25,131,2694,131,262,2.442244224422442,4.323432343234323,4.323432343234323,88.91089108910892,8.646864686468646
59,2004-12-01,2911,75,26,24,25,131,2737,131,262,2.4398178269355886,4.261548471047496,4.261548471047496,89.03708523096942,8.523096942094991
60,2005-01-01,2962,77,27,25,25,136,2782,136,272,2.4592781858831048,4.3436601724688595,4.3436601724688595,88.85340146917918,8.687320344937719
61,2005-02-01,3062,87,32,27,28,148,2864,148,296,2.6793963658761935,4.558053587927318,4.558053587927318,88.20449645826918,9.116107175854635
62,2005-03-01,3168,92,34,29,29,151,2963,151,302,2.740542150729818,4.498063747393506,4.498063747393506,88.26333035448317,8.996127494787013
63,2005-04-01,3240,96,34,33,29,156,3028,156,312,2.7939464493597206,4.540162980209546,4.540162980209546,88.12572759022119,9.080325960419092
64,2005-05-01,3307,98,35,34,29,161,3088,161,322,2.793614595210946,4.5895096921322684,4.5895096921322684,88.02736602052451,9.179019384264537
65,2005-06-01,3347,101,35,36,30,164,3122,164,328,2.8442692199380457,4.618417347226133,4.618417347226133,87.91889608560969,9.236834694452266
66,2005-07-01,3440,106,37,37,32,171,3207,171,342,2.9001367989056086,4.678522571819426,4.678522571819426,87.74281805745554,9.357045143638851
