,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',4
4,'2000-05-01',7
5,'2000-06-01',7
6,'2000-07-01',7
7,'2000-08-01',7
8,'2000-09-01',8
9,'2000-10-01',10
10,'2000-11-01',10
11,'2000-12-01',10
12,'2001-01-01',10
13,'2001-02-01',11
14,'2001-03-01',11
15,'2001-04-01',11
16,'2001-05-01',11
17,'2001-06-01',11
18,'2001-07-01',11
19,'2001-08-01',11
20,'2001-09-01',12
21,'2001-10-01',12
22,'2001-11-01',12
23,'2001-12-01',12
24,'2002-01-01',12
25,'2002-02-01',12
26,'2002-03-01',12
27,'2002-04-01',12
28,'2002-05-01',13
29,'2002-06-01',13
30,'2002-07-01',13
31,'2002-08-01',13
32,'2002-09-01',13
33,'2002-10-01',14
34,'2002-11-01',15
35,'2002-12-01',15
36,'2003-01-01',15
37,'2003-02-01',15
38,'2003-03-01',19
39,'2003-04-01',19
40,'2003-05-01',19
41,'2003-06-01',19
42,'2003-07-01',19
43,'2003-08-01',19
44,'2003-09-01',19
45,'2003-10-01',19
46,'2003-11-01',20
47,'2003-12-01',20
