,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',6
3,'2000-04-01',7
4,'2000-05-01',10
5,'2000-06-01',11
6,'2000-07-01',13
7,'2000-08-01',13
8,'2000-09-01',15
9,'2000-10-01',17
10,'2000-11-01',17
11,'2000-12-01',17
12,'2001-01-01',18
13,'2001-02-01',22
14,'2001-03-01',23
15,'2001-04-01',24
16,'2001-05-01',25
17,'2001-06-01',25
18,'2001-07-01',25
19,'2001-08-01',25
20,'2001-09-01',26
21,'2001-10-01',26
22,'2001-11-01',26
23,'2001-12-01',26
24,'2002-01-01',27
25,'2002-02-01',28
26,'2002-03-01',28
27,'2002-04-01',28
28,'2002-05-01',29
29,'2002-06-01',33
30,'2002-07-01',33
31,'2002-08-01',34
32,'2002-09-01',34
33,'2002-10-01',36
34,'2002-11-01',39
35,'2002-12-01',39
36,'2003-01-01',40
37,'2003-02-01',40
38,'2003-03-01',45
39,'2003-04-01',46
40,'2003-05-01',49
41,'2003-06-01',50
42,'2003-07-01',50
43,'2003-08-01',50
44,'2003-09-01',51
45,'2003-10-01',51
46,'2003-11-01',52
47,'2003-12-01',53
48,'2004-01-01',53
49,'2004-02-01',53
50,'2004-03-01',55
51,'2004-04-01',58
52,'2004-05-01',59
53,'2004-06-01',59
54,'2004-07-01',59
55,'2004-08-01',60
56,'2004-09-01',67
57,'2004-10-01',71
58,'2004-11-01',74
59,'2004-12-01',75
60,'2005-01-01',77
61,'2005-02-01',87
62,'2005-03-01',92
63,'2005-04-01',96
64,'2005-05-01',98
65,'2005-06-01',101
66,'2005-07-01',106
67,'2005-08-01',108
68,'2005-09-01',120
69,'2005-10-01',130
70,'2005-11-01',143
71,'2005-12-01',155
72,'2006-01-01',166
73,'2006-02-01',180
74,'2006-03-01',194
75,'2006-04-01',204
76,'2006-05-01',220
77,'2006-06-01',235
78,'2006-07-01',246
79,'2006-08-01',255
80,'2006-09-01',285
81,'2006-10-01',309
82,'2006-11-01',342
83,'2006-12-01',380
84,'2007-01-01',398
85,'2007-02-01',444
86,'2007-03-01',474
87,'2007-04-01',511
88,'2007-05-01',539
89,'2007-06-01',562
90,'2007-07-01',589
91,'2007-08-01',606
92,'2007-09-01',626
93,'2007-10-01',659
94,'2007-11-01',707
95,'2007-12-01',763
96,'2008-01-01',798
97,'2008-02-01',1306
98,'2008-03-01',1677
99,'2008-04-01',1811
100,'2008-05-01',2070
101,'2008-06-01',2160
102,'2008-07-01',2206
103,'2008-08-01',2322
104,'2008-09-01',2364
105,'2008-10-01',2516
106,'2008-11-01',2868
107,'2008-12-01',3048
108,'2009-01-01',3160
109,'2009-02-01',3634
110,'2009-03-01',3879
111,'2009-04-01',4140
112,'2009-05-01',4326
113,'2009-06-01',4390
114,'2009-07-01',4460
115,'2009-08-01',4556
116,'2009-09-01',4729
117,'2009-10-01',5182
118,'2009-11-01',5530
119,'2009-12-01',5835
120,'2010-01-01',6005
121,'2010-02-01',6637
122,'2010-03-01',7081
123,'2010-04-01',7463
124,'2010-05-01',7619
125,'2010-06-01',7847
126,'2010-07-01',7974
127,'2010-08-01',8070
128,'2010-09-01',8156
129,'2010-10-01',8598
130,'2010-11-01',9051
131,'2010-12-01',9492
132,'2011-01-01',9625
133,'2011-02-01',9893
134,'2011-03-01',10699
135,'2011-04-01',11043
136,'2011-05-01',11435
137,'2011-06-01',11629
138,'2011-07-01',11793
139,'2011-08-01',11920
140,'2011-09-01',12127
141,'2011-10-01',12510
142,'2011-11-01',13080
143,'2011-12-01',13616
144,'2012-01-01',13740
145,'2012-02-01',14573
146,'2012-03-01',15189
147,'2012-04-01',15588
148,'2012-05-01',15945
149,'2012-06-01',16174
150,'2012-07-01',16316
151,'2012-08-01',16539
152,'2012-09-01',16714
153,'2012-10-01',17351
154,'2012-11-01',17620
155,'2012-12-01',18142
156,'2013-01-01',18281
157,'2013-02-01',18723
158,'2013-03-01',19651
159,'2013-04-01',20029
160,'2013-05-01',20427
161,'2013-06-01',20586
162,'2013-07-01',20729
163,'2013-08-01',20904
164,'2013-09-01',21194
165,'2013-10-01',22021
166,'2013-11-01',22436
167,'2013-12-01',23067
