,track
0,0
1,0
2,45
3,55
4,68
5,74
6,76
7,92
8,184
9,234
10,292
11,342
12,371
13,570
14,710
15,738
16,778
17,793
18,804
19,811
20,827
21,860
22,889
23,921
24,931
25,960
26,1011
27,1023
28,1038
29,1053
30,1071
31,1086
32,1125
33,1173
34,1197
35,1211
36,1230
37,1260
38,1625
39,1657
40,1694
41,1736
42,1762
43,1782
44,1910
45,1961
46,1998
47,2027
48,2041
49,2067
50,2131
51,2225
52,2301
53,2325
54,2397
55,2422
56,2580
57,2633
58,2694
59,2737
60,2782
61,2864
62,2963
63,3028
64,3088
65,3122
66,3207
67,3307
68,3440
69,3558
70,3750
71,3919
72,4029
73,4276
74,4581
75,4879
76,5099
77,5274
78,5580
79,5770
80,6135
81,6377
82,6993
83,7348
84,7535
85,8239
86,8731
87,9178
88,9501
89,9771
90,10018
91,10267
92,10557
93,10900
94,11399
95,11722
96,11920
97,12137
98,12414
99,12672
100,12911
101,13131
102,13388
103,13613
104,13834
105,14098
106,14410
107,14674
108,14887
109,15117
110,15400
111,15726
112,15972
113,16194
114,16406
115,16570
116,16754
117,16993
118,17233
119,17463
120,17660
121,17904
122,18184
123,18498
124,18822
125,19128
126,19435
127,19727
128,20027
129,20367
130,20763
131,21130
132,21416
133,21742
134,22120
135,22465
136,22773
137,23128
138,23422
139,23710
140,23998
141,24343
142,24691
143,25024
144,25343
145,25682
146,26077
147,26482
148,26881
149,27282
150,27637
151,27960
152,28217
153,28536
154,28954
155,29363
156,29676
157,30029
158,30548
159,30898
160,31372
161,31858
162,32223
163,32620
164,32945
165,33300
166,33771
167,34207
168,34489
169,34887
170,35302
171,35763
172,36247
173,36559
174,36821
175,37064
176,37300
177,37581
178,37987
179,38448
180,38763
181,39151
182,39529
183,39918
184,40317
185,40604
186,40777
187,41112
188,41415
189,41797
190,42174
191,42464
192,42789
193,43083
194,43466
195,43908
196,44406
197,44821
198,45244
199,45559
200,45952
201,46397
202,46894
203,47414
204,47825
205,48330
206,48852
207,49348
208,49847
209,50300
210,50693
211,51109
212,51598
213,52057
214,52546
215,53079
