,track
0,0
1,0
2,3
3,4
4,7
5,7
6,7
7,7
8,8
9,10
10,10
11,10
12,10
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,12
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,13
29,13
30,13
31,13
32,13
33,14
34,15
35,15
36,15
37,15
38,19
39,19
40,19
41,19
42,19
43,19
44,19
45,19
46,20
47,20
48,20
49,20
50,20
51,22
52,22
53,22
54,22
55,22
56,24
57,24
58,25
59,25
60,25
61,28
62,29
63,29
64,29
65,30
66,32
67,33
68,36
69,37
70,43
71,45
72,47
73,54
74,58
75,59
76,63
77,67
78,72
79,75
80,83
81,90
82,103
83,127
84,128
85,150
86,157
87,167
88,179
89,186
90,195
91,198
92,204
93,226
94,240
95,255
96,264
97,679
98,876
99,935
100,1084
101,1122
102,1129
103,1192
104,1200
105,1283
106,1561
107,1671
108,1729
109,2124
110,2255
111,2395
112,2498
113,2518
114,2558
115,2618
116,2719
117,2993
118,3237
119,3460
120,3566
121,4097
122,4375
123,4619
124,4687
125,4811
126,4881
127,4921
128,4956
129,5215
130,5526
131,5795
132,5860
133,5969
134,6524
135,6706
136,6918
137,7010
138,7094
139,7153
140,7272
141,7490
142,7898
143,8274
144,8320
145,8914
146,9269
147,9497
148,9683
149,9807
150,9889
151,10038
152,10149
153,10580
154,10730
155,11105
156,11187
157,11399
158,12034
159,12262
160,12499
161,12545
162,12612
163,12718
164,12911
165,13458
166,13697
167,14126
168,14186
169,14374
170,15028
171,15247
172,15444
173,15507
174,15577
175,15658
176,15758
177,16300
178,16556
179,16850
180,17002
181,17281
182,17784
183,18228
184,18419
185,18492
186,18571
187,18712
188,18939
189,19597
190,20017
191,20407
192,20585
193,20826
194,21169
195,21644
196,21935
197,22036
198,22093
199,22457
200,22779
201,23482
202,23860
203,24495
204,24685
205,24852
206,25239
207,25723
208,26065
209,26259
210,26446
211,26566
212,27115
213,27696
214,28095
215,28512
