,username
0,-100005
1,-100024
2,-100026
3,-100032
4,-10006
5,-10009
6,-100098
7,-1001
8,-100103
9,-100107
10,-100113
11,-100122
12,-100148
13,-100149
14,-100157
15,-100165
16,-100187
17,-100191
18,-100197
19,-100209
20,-100221
21,-10023
22,-100235
23,-10024
24,-10029
25,-100299
26,-1003
27,-100301
28,-100307
29,-10031
30,-100331
31,-10034
32,-100341
33,-100358
34,-100403
35,-100413
36,-100447
37,-100470
38,-100495
39,-100507
40,-100509
41,-100515
42,-10054
43,-100542
44,-100544
45,-100547
46,-100558
47,-100573
48,-100587
49,-100615
50,-100629
51,-100637
52,-100642
53,-100671
54,-100692
55,-100709
56,-100723
57,-100726
58,-100756
59,-100767
60,-100776
61,-100793
62,-100794
63,-100808
64,-100818
65,-100833
66,-100834
67,-100844
68,-100858
69,-100867
70,-100870
71,-100926
72,-100934
73,-100941
74,-100950
75,-100959
76,-100999
77,-101037
78,-101042
79,-10105
80,-101054
81,-101077
82,-101082
83,-101157
84,-101162
85,-101163
86,-101185
87,-10119
88,-101210
89,-101211
90,-101218
91,-101222
92,-101224
93,-101228
94,-101231
95,-101249
96,-101271
97,-101301
98,-101310
99,-101314
100,-101317
101,-101319
102,-101321
103,-101325
104,-101326
105,-101327
106,-101329
107,-101330
108,-101337
109,-101338
110,-101351
111,-101360
112,-101386
113,-1014
114,-10141
115,-101410
116,-101413
117,-101445
118,-101464
119,-101469
120,-101475
121,-10148
122,-101488
123,-101493
124,-101541
125,-101542
126,-101548
127,-10156
128,-101601
129,-101606
130,-10168
131,-101682
132,-101716
133,-10175
134,-101768
135,-10178
136,-101793
137,-101795
138,-10180
139,-101809
140,-101819
141,-10182
142,-101822
143,-101832
144,-101842
145,-101846
146,-101848
147,-101850
148,-101859
149,-10187
150,-10188
151,-101898
152,-101922
153,-101966
154,-101970
155,-101976
156,-101984
157,-101999
158,-1020
159,-102020
160,-102057
161,-102076
162,-102105
163,-102108
164,-10212
165,-102130
166,-102151
167,-102157
168,-102203
169,-102232
170,-102235
171,-102236
172,-102258
173,-102289
174,-102294
175,-102295
176,-102307
177,-102315
178,-10232
179,-102322
180,-102332
181,-102349
182,-10239
183,-102403
184,-102404
185,-102442
186,-102464
187,-102492
