semester,number of clusters,total users,total institutions
spring2007,38,1067,67
fall2007,31,642,63
spring2008,65,1156,78
fall2008,39,735,45
spring2009,46,977,59
fall2009,51,1181,56
spring2010,90,1753,120
fall2010,81,1436,116
spring2011,104,1824,153
fall2011,89,1685,126
spring2012,95,2210,184
fall2012,106,1865,172
spring2013,119,2192,168
fall2013,102,2257,141
spring2014,104,1974,112
fall2014,101,1943,98
spring2015,112,2307,140
fall2015,112,2622,118
spring2016,142,2448,140
fall2016,158,3413,140
spring2017,151,2734,154
fall2017,160,3134,144
spring2018,171,3023,168
fall2018,150,3265,154
spring2019,177,3496,205
fall2019,158,2833,155
spring2020,240,4538,292
fall2020,205,4526,253
spring2021,243,4739,321
fall2021,28,995,206
