semester,number of clusters,total users,total institutions
spring2007,81,1145,34
fall2007,93,765,50
spring2008,125,1361,57
fall2008,93,888,47
spring2009,132,1257,60
fall2009,194,1547,62
spring2010,164,1843,72
fall2010,208,1591,63
spring2011,292,2004,95
fall2011,221,1754,90
spring2012,288,2313,108
fall2012,231,1863,93
spring2013,266,2242,81
fall2013,214,2177,72
spring2014,248,2145,72
fall2014,234,2119,83
spring2015,275,2346,84
fall2015,279,2910,88
spring2016,345,2647,88
fall2016,336,3656,82
spring2017,395,3061,99
fall2017,410,3392,70
spring2018,335,3002,102
fall2018,447,3857,81
spring2019,377,3433,113
fall2019,391,3097,97
spring2020,482,3692,136
fall2020,557,3907,121
spring2021,627,4026,168
fall2021,49,265,35
