,Week Start,Number_Unique_Institutions,Number_Users_Total,Number_Unique_Classes
0,1/27/2019,11,524,15
1,2/3/2019,17,886,23
2,2/10/2019,17,909,26
3,2/17/2019,21,929,25
4,2/24/2019,18,848,27
5,3/3/2019,15,722,20
6,3/10/2019,19,764,24
7,3/17/2019,18,827,24
8,3/24/2019,22,1074,29
9,3/31/2019,26,1160,36
10,4/7/2019,20,1066,33
11,4/14/2019,21,1165,36
12,4/21/2019,24,1183,43
13,4/28/2019,25,1115,37
14,5/5/2019,22,961,31
15,5/12/2019,13,683,20
16,5/19/2019,9,348,13
17,5/26/2019,7,340,10
18,6/2/2019,9,385,11
19,6/9/2019,6,219,8
20,6/16/2019,4,163,5
21,6/23/2019,6,208,8
22,6/30/2019,7,275,9
23,7/7/2019,7,322,13
24,7/14/2019,6,290,10
25,7/21/2019,5,86,6
26,7/28/2019,4,94,6
27,8/4/2019,5,90,6
28,8/11/2019,7,368,9
29,8/18/2019,9,480,16
30,8/25/2019,12,557,21
31,9/1/2019,16,659,26
32,9/8/2019,21,664,29
33,9/15/2019,22,643,33
34,9/22/2019,27,736,39
35,9/29/2019,26,810,40
36,10/6/2019,28,814,45
37,10/13/2019,31,972,45
38,10/20/2019,31,990,48
39,10/27/2019,31,832,44
40,11/3/2019,32,1069,48
41,11/10/2019,27,1155,42
42,11/17/2019,22,731,32
43,11/24/2019,20,805,30
44,12/1/2019,20,784,31
45,12/8/2019,18,600,25
46,12/15/2019,8,190,9
47,12/22/2019,7,70,7
48,12/29/2019,5,55,5
49,1/5/2020,5,55,6
50,1/12/2020,14,1064,23
51,1/19/2020,15,1068,25
52,1/26/2020,18,1121,33
53,2/2/2020,22,1321,37
54,2/9/2020,23,1452,40
55,2/16/2020,18,1281,33
56,2/23/2020,19,1320,34
57,3/1/2020,22,1397,41
58,3/8/2020,14,944,25
59,3/15/2020,20,1082,30
60,3/22/2020,27,1161,41
61,3/29/2020,26,1217,44
62,4/5/2020,24,955,52
63,4/12/2020,25,894,50
64,4/19/2020,24,654,38
65,4/26/2020,19,518,32
66,5/3/2020,10,383,17
67,5/10/2020,11,336,17
68,5/17/2020,19,634,30
69,5/24/2020,15,539,24
70,5/31/2020,8,377,14
71,6/7/2020,5,187,5
72,6/14/2020,4,169,5
73,6/21/2020,5,204,9
74,6/28/2020,7,234,12
75,7/5/2020,7,323,11
76,7/12/2020,6,345,8
77,7/19/2020,8,166,10
78,7/26/2020,11,399,15
79,8/2/2020,10,424,14
80,8/9/2020,7,306,9
81,8/16/2020,11,441,21
82,8/23/2020,13,484,27
83,8/30/2020,13,616,30
84,9/6/2020,19,734,33
85,9/13/2020,22,837,36
86,9/20/2020,26,1104,48
87,9/27/2020,23,821,38
88,10/4/2020,20,753,34
89,10/11/2020,15,1097,55
90,10/18/2020,21,1012,59
91,10/25/2020,25,1071,56
92,11/1/2020,31,1252,62
93,11/8/2020,25,1305,47
94,11/15/2020,25,1356,47
95,11/22/2020,16,1086,36
96,11/29/2020,20,1100,44
97,12/6/2020,17,1071,34
98,12/13/2020,13,847,28
99,12/20/2020,12,516,19
100,12/27/2020,2,44,4
101,1/3/2021,2,48,5
102,1/10/2021,1,102,8
103,1/17/2021,1,43,3
