,Week Start,Number_Unique_Institutions,Number_Unique_Users,Number_Unique_Classes,Number_Cluster_Simulations,Total_Simulations_All
0,2019-1-30,13,0,18,0,142789
1,2019-2-6,16,0,24,0,
2,2019-2-13,20,0,27,0,
3,2019-2-20,21,0,28,0,
4,2019-2-27,18,0,28,0,
5,2019-3-6,17,0,28,0,
6,2019-3-13,17,0,28,0,
7,2019-3-20,18,0,30,0,
8,2019-3-27,22,0,35,0,
9,2019-4-3,25,0,42,0,
10,2019-4-10,19,0,41,0,
11,2019-4-17,24,0,49,0,
12,2019-4-24,27,0,51,0,
13,2019-5-1,26,0,36,0,
14,2019-5-8,19,0,30,0,
15,2019-5-15,12,0,18,0,
16,2019-5-22,9,0,14,0,
17,2019-5-29,7,0,9,0,
18,2019-6-5,7,0,11,0,
19,2019-6-12,4,0,6,0,
20,2019-6-19,5,0,6,0,
21,2019-6-26,6,0,7,0,
22,2019-7-3,7,0,9,0,
23,2019-7-10,9,0,14,0,
24,2019-7-17,6,0,10,0,
25,2019-7-24,6,0,7,0,
26,2019-7-31,5,0,6,0,
27,2019-8-7,6,0,7,0,
28,2019-8-14,7,0,10,0,
29,2019-8-21,9,0,14,0,
30,2019-8-28,14,0,23,0,
31,2019-9-4,18,0,29,0,
32,2019-9-11,23,0,35,0,
33,2019-9-18,27,0,41,0,
34,2019-9-25,28,0,43,0,
35,2019-10-2,28,0,44,0,
36,2019-10-9,29,0,42,0,
37,2019-10-16,31,0,45,0,
38,2019-10-23,32,0,46,0,
39,2019-10-30,34,0,52,0,
40,2019-11-6,32,0,48,0,
41,2019-11-13,26,0,40,0,
42,2019-11-20,23,0,34,0,
43,2019-11-27,20,0,31,0,
44,2019-12-4,21,0,30,0,
45,2019-12-11,14,0,19,0,
46,2019-12-18,7,0,8,0,
47,2019-12-25,7,0,7,0,
48,2020-1-1,5,0,6,0,
49,2020-1-8,9,0,11,0,
50,2020-1-15,15,0,25,0,
51,2020-1-22,16,0,32,0,
52,2020-1-29,20,0,34,0,
53,2020-2-5,23,0,38,0,
54,2020-2-12,22,0,37,0,
55,2020-2-19,20,0,35,0,
56,2020-2-26,21,0,40,0,
57,2020-3-4,20,0,38,0,
58,2020-3-11,17,0,27,0,
59,2020-3-18,23,0,39,0,
60,2020-3-25,22,0,39,0,
61,2020-4-1,26,0,53,0,
62,2020-4-8,21,0,56,0,
63,2020-4-15,24,0,50,0,
64,2020-4-22,25,0,41,0,
65,2020-4-29,16,0,28,0,
66,2020-5-6,7,0,11,0,
67,2020-5-13,12,0,21,0,
68,2020-5-20,17,0,30,0,
69,2020-5-27,14,0,21,0,
70,2020-6-3,6,0,10,0,
71,2020-6-10,3,0,4,0,
72,2020-6-17,5,0,7,0,
73,2020-6-24,5,0,10,0,
74,2020-7-1,7,0,10,0,
75,2020-7-8,6,0,8,0,
76,2020-7-15,8,0,10,0,
77,2020-7-22,11,0,13,0,
78,2020-7-29,11,0,16,0,
79,2020-8-5,9,0,12,0,
80,2020-8-12,7,0,11,0,
81,2020-8-19,13,0,26,0,
82,2020-8-26,14,0,31,0,
83,2020-9-2,15,0,32,0,
84,2020-9-9,21,0,32,0,
85,2020-9-16,25,0,41,0,
86,2020-9-23,27,0,52,0,
87,2020-9-30,23,0,41,0,
88,2020-10-7,24,0,55,0,
89,2020-10-14,20,0,76,0,
90,2020-10-21,24,0,62,0,
91,2020-10-28,26,0,63,0,
92,2020-11-4,27,0,57,0,
93,2020-11-11,26,0,51,0,
94,2020-11-18,23,0,47,0,
95,2020-11-25,19,0,49,0,
96,2020-12-2,21,0,43,0,
97,2020-12-9,15,0,30,0,
98,2020-12-16,14,0,23,0,
99,2020-12-23,9,0,16,0,
100,2020-12-30,2,0,5,0,
101,2021-1-6,2,0,9,0,
102,2021-1-13,1,0,8,0,
103,2021-1-20,0,0,0,0,
104,2021-1-27,0,0,0,0,
